"Sens Factor =0.519dB, SERNO: 7188917"
"Auto-generated 90-degree calibration file"
10.054	-1.9585
10.179	-1.8184
10.306	-1.6816
10.434	-1.5478
10.564	-1.4173
10.696	-1.2899
10.829	-1.1656
10.964	-1.0444
11.100	-0.9261
11.238	-0.8108
11.378	-0.6986
11.520	-0.5893
11.663	-0.4828
11.809	-0.3794
11.956	-0.2786
12.104	-0.1806
12.255	-0.0855
12.408	0.0068
12.562	0.0966
12.718	0.1837
12.877	0.2680
13.037	0.3498
13.199	0.4290
13.364	0.5055
13.530	0.5797
13.698	0.6514
13.869	0.7205
14.042	0.7873
14.216	0.8518
14.393	0.9138
14.573	0.9734
14.754	1.0309
14.938	1.0860
15.124	1.1389
15.312	1.1897
15.503	1.2383
15.696	1.2847
15.891	1.3291
16.089	1.3714
16.289	1.4117
16.492	1.4500
16.697	1.4863
16.905	1.5207
17.115	1.5532
17.328	1.5838
17.544	1.6125
17.763	1.6394
17.984	1.6646
18.208	1.6881
18.434	1.7099
18.664	1.7299
18.896	1.7483
19.131	1.7652
19.369	1.7804
19.611	1.7940
19.855	1.8062
20.102	1.8169
20.352	1.8261
20.605	1.8340
20.862	1.8403
21.122	1.8454
21.385	1.8491
21.651	1.8516
21.920	1.8529
22.193	1.8528
22.470	1.8515
22.749	1.8492
23.032	1.8457
23.319	1.8411
23.609	1.8355
23.903	1.8288
24.201	1.8210
24.502	1.8124
24.807	1.8028
25.116	1.7923
25.429	1.7809
25.745	1.7687
26.066	1.7557
26.390	1.7419
26.719	1.7273
27.051	1.7122
27.388	1.6962
27.729	1.6797
28.074	1.6625
28.424	1.6447
28.778	1.6264
29.136	1.6076
29.499	1.5883
29.866	1.5685
30.238	1.5483
30.614	1.5278
30.995	1.5069
31.381	1.4857
31.772	1.4641
32.167	1.4424
32.568	1.4203
32.973	1.3981
33.383	1.3758
33.799	1.3533
34.220	1.3307
34.646	1.3080
35.077	1.2853
35.514	1.2615
35.956	1.2382
36.403	1.2155
36.857	1.1934
37.315	1.1719
37.780	1.1513
38.250	1.1314
38.726	1.1124
39.209	1.0945
39.697	1.0775
40.191	1.0616
40.691	1.0467
41.198	1.0328
41.711	1.0198
42.230	1.0077
42.756	0.9962
43.288	0.9853
43.827	0.9749
44.372	0.9651
44.925	0.9557
45.484	0.9468
46.050	0.9381
46.623	0.9296
47.204	0.9211
47.791	0.9125
48.386	0.9035
48.989	0.8940
49.599	0.8839
50.216	0.8732
50.841	0.8620
51.474	0.8504
52.115	0.8385
52.764	0.8263
53.420	0.8140
54.085	0.8017
54.759	0.7893
55.440	0.7769
56.131	0.7645
56.829	0.7521
57.537	0.7396
58.253	0.7272
58.978	0.7148
59.712	0.7025
60.456	0.6905
61.208	0.6788
61.970	0.6678
62.742	0.6576
63.523	0.6484
64.314	0.6401
65.114	0.6326
65.925	0.6256
66.745	0.6189
67.576	0.6122
68.418	0.6053
69.269	0.5981
70.132	0.5906
71.005	0.5829
71.889	0.5751
72.784	0.5673
73.690	0.5595
74.607	0.5519
75.536	0.5444
76.476	0.5370
77.428	0.5296
78.392	0.5222
79.368	0.5148
80.356	0.5073
81.356	0.4999
82.369	0.4928
83.394	0.4861
84.433	0.4800
85.484	0.4745
86.548	0.4696
87.625	0.4652
88.716	0.4614
89.820	0.4580
90.939	0.4551
92.071	0.4525
93.217	0.4502
94.377	0.4483
95.552	0.4467
96.742	0.4456
97.946	0.4448
99.165	0.4445
100.400	0.4443
101.650	0.4442
102.915	0.4439
104.196	0.4431
105.493	0.4416
106.806	0.4396
108.136	0.4371
109.482	0.4346
110.845	0.4324
112.225	0.4306
113.622	0.4295
115.037	0.4290
116.469	0.4293
117.919	0.4301
119.386	0.4313
120.873	0.4329
122.377	0.4346
123.901	0.4363
125.443	0.4381
127.005	0.4400
128.586	0.4420
130.187	0.4442
131.807	0.4466
133.448	0.4490
135.109	0.4514
136.791	0.4536
138.494	0.4554
140.218	0.4571
141.964	0.4584
143.731	0.4595
145.520	0.4604
147.332	0.4611
149.166	0.4618
151.023	0.4626
152.903	0.4635
154.806	0.4645
156.734	0.4658
158.685	0.4672
160.660	0.4687
162.660	0.4702
164.685	0.4716
166.735	0.4730
168.811	0.4745
170.912	0.4759
